电视台
cctv,https://tv.cctv.cn/live/
云南电视台,https://www.yntv.cn/live.html
河北网络广播电视台,https://www.hebtv.com/19/19js/st/xdszb/index.shtml
保定广电网,https://www.bdgdw.com/live/
江西网络广播电视台,http://www.jxntv.cn/live/
拉萨广播电视网,https://www.lasatv.cn/cms/tv
伊金霍洛新闻网,https://www.yjhlnews.cn/lives/79
燕赵名城网,https://www.sjzntv.cn/wzsy/pd/
内蒙古广播电视台腾格里网,http://www.nmtv.cn/folder84/folder86/folder137
看看新闻网,https://live.kankanews.com/huikan/
四川网络广播电视台,https://www.sctv.com/
河南广播电视台,https://static.hntv.tv/kds/#/
湖北网络广播电视台,https://news.hbtv.com.cn/app/tv/431
福建网络广播电视台,http://live.fjtv.net/zhpd/
惠买,https://www.huimai.com.cn/tvList/
吉林广播电视台,http://www.jlntv.cn/newpc/wlt/live/index.php?channel_id=9
广西网络广播电视台,https://tv.gxtv.cn/channel/channelivePlay_fdbaf085f9fe11e88bcfe41f13b60c62.html
山西网络广播电视台,https://www.sxrtv.com/tv/index.shtml
陕西网络广播电视台,http://live.snrtv.com/1
宁夏网络广播电视台,http://www.nxtv.com.cn/live/
海南网络广播电视台,http://www.hnntv.cn/live/lylive/
甘肃网络广播电视台,https://www.gstv.com.cn/zxc.jhtml
新疆网络广播电视台,http://www.xjtvs.com.cn/jlmxjtv2022/2wzgbcslm/zb/29322654.shtml
贵州网络广播电视台,https://www.gzstv.com/tv/ch01
青海网络广播电视台,http://www.qhbtv.com/new_index/live/
湖南卫视,https://www.mgtv.com/
浙江卫视,http://www.zjstv.com/
北京卫视,https://www.brtn.cn/
山东卫视,http://www.iqilu.com/

湖南
湖南卫视,https://live.mgtv.com/
湖南经视频道,#
湖南都市频道,#
湖南娱乐频道,#
湖南公共频道,#
电视剧频道,#
湖南国际频道,#
湖南快乐购,#
湖南茶频道,#
先锋兵羽频道,#
长沙女性频道,#
长沙新闻频道,#
长沙政法频道,#
金鹰纪实频道,#
快乐垂钓,#
四海钓鱼,#
株洲新闻频道,#
郴州新闻综合,#
郴州公共都市,#
湘潭新闻综合,#
湘潭公共频道,#
常德新闻综合,#
常德公共频道,#
益阳新闻综合,#
益阳公共频道,#
怀化新闻综合,#
怀化公共频道,#
张家界一套,#
张家界二套,#
娄底综合频道,#
娄底公共频道,#
永州新闻综合,#
永州公共频道,#
邵阳新闻综合,#
邵阳公共频道,#

浙江
浙江卫视,#
浙江国际频道,#
浙江经视频道,#
浙江经济生活,#
浙江公共新闻,#
浙江钱江频道,#
浙江教育科技,#
浙江影视娱乐,#
浙江少儿频道,#
浙江民生休闲,#
留学世界频道,#
好易购电视购物,#
数码时代频道,#
台州1新闻综合,#
台州2影视文化,#
台州3公共财富,#
台州4城市生活,#
宁波1新闻综合,#
宁波2社会生活,#
宁波3都市文体,#
宁波4影视剧频道,#
宁波5少儿频道,#
宁波6教育科技,#
温州新闻综合,#
温州经济科教,#
温州都市生活,#
温州公共民生,#
温州瓯江先锋,#
杭州1综合频道,#
杭州2明珠频道,#
杭州3生活频道,#
杭州4影视频道,#
杭州5少儿频道,#
绍兴影视娱乐,#
绍兴公共频道,#
绍兴新闻综合,#
嘉兴新闻综合,#
嘉兴文化影视,#
嘉兴公共频道,#
金华新闻综合,#
金华教育科技,#
金华公共频道,#
金华都市农村,#
舟山新闻综合,#

北京
北京卫视,#
北京体育频道,#
中国交通频道,#
央广健康频道,#
新华社CNC中文台,#
新华社CNC英文台,#
BTV11纪实频道,#
北京生活频道,#
北京财经频道,#
北京影视频道,#
北京科教频道,#
车迷频道,#
北京文艺频道,#
北京新闻频道,#
北京青年频道,#
环球奇观,#
四海钓鱼,#
快乐宠物频道,#
优优宝贝频道,#
石景山电视台,#

上海
东方卫视,#
东方娱乐频道,#
上海电视剧频道,#
上海新闻频道,#
上海外语频道,#
上海都市频道,#
上海法治天地,#
东方财经频道,#
上海第一财经,#
上海五星体育,#
劲爆体育频道,#
上海纪实频道,#
上海教育电视台,#
看看新闻Knews,#
点掌财经频道,#
上海金山电视台,#
奉贤电视台,#
浦东电视台,#
上海艺术人文,#
幸福彩频道,#
动漫秀场频道,#
极速汽车频道,#
欢笑剧场频道,#
上海东方购物,#

天津
天津卫视,#
天津滨海一套,#
天津滨海二套,#
天津三佳购物,#
天津国际频道,#
天津新闻频道,#
天津体育频道,#
天津影视频道,#
天津公共频道,#
天津文艺频道,#
天津少儿频道,#
天津科教频道,#
天津都市频道,#
蓟县新闻综合,#
蓟州文化旅游,#
宝坻电视台,#
宁河电视台,#
西青新闻综合,#

河北
河北卫视,#
河北公共频道,#
河北经济频道,#
河北都市频道,#
河北影视频道,#
河北少儿科教,#
河北农民频道,#
河北三佳购物,#
石家庄新闻综合,#
石家庄娱乐频道,#
石家庄生活频道,#
石家庄都市频道,#
唐山新闻综合,#
唐山影视频道,#
唐山生活服务,#
唐山公共频道,#
保定一套,#
保定二套,#
保定三套,#
秦皇岛一套,#
秦皇岛二套,#
秦皇岛三套,#
邯郸新闻频道,#
邯郸科教频道,#
邯郸公共频道,#
张家口一套,#
衡水新闻综合,#
衡水公共频道,#
衡水影视娱乐,#
沧州一套,#
沧州二套,#
沧州三套,#
廊坊电视台,#
廊坊好故事,#
承德电视台,#

山东
山东卫视,#
齐鲁电视台,#
山东国际频道,#
山东影视频道,#
山东生活频道,#
山东农科频道,#
山东公共频道,#
山东综艺频道,#
山东教育卫视,#
山东体育频道,#
山东少儿频道,#
山东居家购物,#
济南新闻频道,#
济南娱乐频道,#
济南影视频道,#
济南生活频道,#
济南都市频道,#
淄博新闻频道,#
淄博生活频道,#
淄博科教频道,#
威海新闻综合,#
威海公共频道,#
潍坊1新闻综合,#
潍坊2经济生活,#
潍坊3公共频道,#
潍坊4科教频道,#
东营新闻综合,#
东营公共频道,#
东营教育频道,#
东营图文频道,#
青岛电视台1套,#
青岛2套生活服务,#
青岛3套影视频道,#
青岛4休闲资讯,#
青岛5都市频道,#
青岛6青少旅游,#
QTV青岛图文频道,#
中华美食频道,#
收藏天下频道,#
济宁新闻综合,#
济宁公共频道,#
济宁教育频道,#
济宁图文频道,#
菏泽1新闻综合,#
菏泽2经济生活,#
菏泽3影视频道,#
菏泽图文频道,#
滨州新闻频道,#
滨州公共频道,#
滨州图文频道,#
烟台新闻综合,#
烟台公共频道,#
烟台经济科技,#
烟台影视频道,#
日照新闻综合,#
日照公共频道,#
日照科教频道,#
日照导视频道,#
莒县电视台一套,#
莒县电视台二套,#
临沂综合频道,#
临沂公共频道,#
临沂农科频道,#
枣庄新闻综合,#
枣庄公共频道,#
枣庄教育频道,#
德州新闻综合,#
德州公共频道,#
德州图文频道,#
聊城综合频道,#
章丘电视台一套,#
章丘电视台二套,#
商河综合频道,#
商河影视频道,#
新泰新闻综合,#
新泰乡村频道,#
新泰影视频道,#
新泰党建频道,#
寿光新闻频道,#
寿光蔬菜频道,#

山西
山西卫视,#
山西经济资讯,#
山西科教频道,#
山西影视频道,#
山西公共频道,#
山西少儿频道,#
黄河电视台,#
太原1新闻频道,#
太原2百姓频道,#
太原3法制频道,#
太原4影视频道,#
太原5文体频道,#
睛彩晋城频道,#
晋城导视频道,#
晋城图文信息,#
晋城公共频道,#
晋城新闻综合,#
阳泉1新闻综合,#
阳泉2科教频道,#
阳泉3睛彩频道,#
太原家庭消费,#
老年福频道,#
彩民在线频道,#
优购物电视购物,#
大同电视台1,#
朔州电视台一套,#
朔州电视台二套,#
晋中综合频道,#
晋中公共频道,#
吕梁电视台一套,#
吕梁电视台二套,#
长治一套新闻综合,#
长治二套公共频道,#
长治三套文化频道,#
临汾电视台一套,#
运城一套新闻综合,#
运城二套公共频道,#
运城三套科教频道,#
运城文化旅游频道,#
运城导视影视频道,#

广东
广东卫视,#
深圳卫视,#
广东新闻频道,#
广东公共频道,#
广东房产频道,#
广东国际频道,#
广东体育频道,#
广东高尔夫频道,#
广东南方购物,#
广州新闻频道,#
广州影视频道,#
广州综合频道,#
广州竞赛频道,#
广州少儿频道,#
珠江电视台,#
珠江电影频道,#
深圳国际频道,#
深圳都市频道,#
深圳财经生活,#
深圳娱乐频道,#
深圳公共频道,#
深圳电视剧频道,#
深圳移动电视,#
宜和购物频道,#
DV生活频道,#
中山公共频道,#
佛山公共频道,#
惠州电视台1套,#
惠州电视台2套,#
东莞电视台1套,#
东莞电视台2套,#
梅州综合频道,#
茂名综合频道,#
河源综合频道,#
汕头1综合频道,#
汕头2经济生活,#
汕头3影视文艺,#
江门综合频道,#
云浮综合频道,#
TVS1经济频道,#
TVS2新闻频道,#
TVS3综艺频道,#
TVS4影视频道,#
TVS5少儿频道,#
肇庆新闻综合,#
揭阳综合频道,#
揭阳公共频道,#
阳江新闻综合,#
阳江公共频道,#
蛇口电视台,#
潮安综合频道,#
潮安影视频道,#
潮州新闻综合,#
潮州公共频道,#
开平综合频道,#
开平生活频道,#
英语辅导频道,#
清远综合频道,#
清远公共频道,#

广西
广西卫视,#
广西新闻频道,#
广西都市频道,#
广西国际频道,#
广西影视频道,#
广西综艺频道,#
广西公共频道,#
广西科教频道,#
乐思购频道,#
桂林电视台,#
柳州新闻综合,#
柳州科教频道,#
南宁新闻综合,#
南宁都市生活,#
南宁公共频道,#
南宁影视娱乐,#
南宁老友LIVE,#
南宁61频道,#
横县电视台,#
隆安电视台,#
马山电视台,#
梧州电视台,#
来宾电视台,#
钦州综合频道,#
河池新闻综合,#
河池教育频道,#
玉林新闻综合,#
玉林公共频道,#
玉林知识频道,#
百色综合频道,#
百色公共频道,#
崇左综合频道,#
防城港新闻综合,#
北海新闻综合,#
贵港新闻综合,#

吉林
吉林卫视,#
延边卫视,#
朝鲜语综合频道,#
汉语综合频道,#
吉林新闻综合,#
吉林教育电视台,#
吉林都市频道,#
吉林生活频道,#
吉林影视频道,#
吉林乡村频道,#
吉林公共新闻,#
吉林综艺文化,#
吉林篮球频道,#
吉林家有购物,#
东北戏曲频道,#
长春1综合频道,#
长春2娱乐频道,#
长春3市民频道,#
长春4商业频道,#
长春5新知频道,#
通化1新闻综合,#
通化2公共频道,#
通化3科教频道,#
辽源新闻综合,#
四平1新闻综合,#
松原新闻综合,#
白山1综合频道,#
白山2公共频道,#
白城新闻综合,#
辽宁
辽宁卫视,#
辽宁都市频道,#
辽宁经济频道,#
辽宁影视娱乐,#
辽宁生活频道,#
辽宁公共频道,#
辽宁教育青少,#
辽宁北方频道,#
辽宁体育频道,#
辽宁家庭理财,#
辽宁宜佳购物,#
辽宁新动漫频道,#
GTV网络棋牌,#
GTV电子体育,#
大连1新闻综合,#
大连2生活频道,#
大连3公共频道,#
大连4文体频道,#
大连5影视频道,#
大连6少儿频道,#
大连7财经频道,#
大连8购物频道,#
沈阳新闻综合,#
沈阳公共频道,#
沈阳经济频道,#
鞍山新闻综合,#
鞍山公共频道,#
鞍山图文频道,#
盘锦新闻综合,#
盘锦影视频道,#
盘锦公共频道,#
锦州1新闻综合,#
锦州2都市频道,#
锦州3影视频道,#
本溪1综合频道,#
本溪2公共频道,#
本溪3科教频道,#
辽阳新闻综合,#
辽阳公共频道,#
辽阳科教频道,#

江苏
江苏卫视,#
江苏国际频道,#
江苏城市频道,#
江苏影视频道,#
江苏公共频道,#
江苏综艺频道,#
江苏靓妆频道,#
江苏教育频道,#
江苏体育休闲,#
江苏优漫卡通,#
财富天下频道,#
财富天下交易日,#
南京新闻综合,#
南京生活频道,#
南京科教频道,#
南京少儿频道,#
苏州新闻综合,#
苏州社会经济,#
苏州文化生活,#
苏州生活资讯,#
常州新闻综合,#
常州都市频道,#
常州生活频道,#
常州公共频道,#
泰州新闻综合,#
泰州经济生活,#
泰州影视频道,#
南通电视台一套,#
南通电视台二套,#
淮安新闻综合,#
淮安公共频道,#
如东新闻综合,#
无锡新闻综合,#
无锡都市资讯,#
无锡娱乐频道,#
无锡经济频道,#
无锡生活频道,#
盐城一套,#
盐城二套,#
盐城三套,#
昆山新闻综合,#
好享电视购物,#
镇江新闻频道,#
镇江社会民生,#
镇江财经生活,#
直播A,#
徐州新闻综合,#
徐州二套,#
徐州三套,#
徐州四套,#
连云港新闻综合,#
连云港公共频道,#
宿迁新闻综合,#
宿迁公共频道,#

安徽
安徽卫视,#
安徽影视频道,#
安徽综艺频道,#
安徽人物频道,#
安徽国际频道,#
安徽经济生活,#
安徽公共频道,#
安徽科教频道,#
家家购物,#
安徽移动电视,#
睛彩安徽频道,#
淮北都市频道,#
淮北新闻频道,#
淮北公共频道,#
合肥财经频道,#
合肥新闻频道,#
合肥生活频道,#
合肥教育法制,#
合肥文体博览,#
滁州新闻频道,#
滁州科教频道,#
滁州公共频道,#
安庆新闻综合,#
安庆公共频道,#
安庆黄梅戏教育,#
六安新闻综合,#
六安公共频道,#
毫州新闻综合,#
亳州农村频道,#
铜陵新闻频道,#
铜陵公共频道,#
铜陵科教频道,#
淮北教育频道,#
宿州新闻综合,#
宿州公共频道,#
宿州科教频道,#
岳西综合频道,#
岳西影视频道,#
芜湖新闻综合,#
芜湖生活频道,#
芜湖教育频道,#
芜湖公共频道,#
肥西新闻综合,#
肥西生活频道,#
蚌埠新闻频道,#
蚌埠生活频道,#
蚌埠公共频道,#
蚌埠文教频道,#
蚌埠公交频道,#
马鞍山新闻综合,#
马鞍山公共频道,#
马鞍山影视频道,#
蒙城新闻频道,#
中国交通安徽频道,#

福建
东南卫视,#
海峡卫视,#
福建新闻频道,#
福建公共频道,#
福建综合频道,#
福建电视剧频道,#
福建都市频道,#
福建经济频道,#
福建导视频道,#
福建体育频道,#
福建旅游频道,#
福建少儿频道,#
福州新闻综合,#
福州影视频道,#
福州生活频道,#
福州少儿频道,#
泉州1新闻综合,#
泉州4闽南语频道,#
晋江侨乡频道,#
宁德1新闻综合,#
宁德2公共影视,#
三明1新闻综合,#
三明2公共频道,#
莆田1新闻综合,#
莆田2经济生活,#
仙游电视台,#
龙岩综合频道,#
龙岩公共频道,#
新罗TV频道,#
漳州1新闻综合,#

湖北
湖北卫视,#
湖北经视频道,#
湖北影视频道,#
湖北生活频道,#
湖北综合频道,#
湖北教育频道,#
湖北交通频道,#
湖北垄上频道,#
美嘉购物频道,#
黄石公共频道,#
黄石都市频道,#
黄石新闻综合,#
荆州新闻频道,#
荆州社区频道,#
荆州垄上频道,#
荆门新闻频道,#
荆门公共频道,#
荆门教育频道,#
武汉新闻综合,#
武汉电视剧频道,#
武汉科技生活,#
武汉经济频道,#
武汉文体频道,#
武汉外语频道,#
武汉少儿频道,#
襄阳综合频道,#
襄阳经济生活,#
宜昌综合频道,#
宜昌公共频道,#
宜昌旅游生活,#
十堰新闻综合,#
十堰公共频道,#
十堰经济旅游,#
鄂州新闻频道,#
鄂州公共频道,#
随州一套综合,#
随州二套农村,#
孝感新闻综合,#
孝感公共频道,#
咸宁新闻综合,#
赤壁电视台一套,#
赤壁电视台二套,#
恩施新闻综合,#
恩施公共频道,#

河南
河南卫视,#
河南国际频道,#
河南都市频道,#
河南民生频道,#
河南法制频道,#
河南电视剧频道,#
河南新闻频道,#
河南公共频道,#
河南移动戏曲,#
武术世界频道,#
河南梨园频道,#
文物宝库频道,#
河南新农村频道,#
河南晴彩中原,#
河南欢腾购物,#
洛阳新闻综合,#
洛阳科教频道,#
洛阳公共频道,#
洛阳移动频道,#
郑州时政频道,#
郑州商都频道,#
郑州文体频道,#
郑州影视戏曲,#
郑州妇女儿童,#
郑州都市生活,#
鹤壁新闻综合,#
新乡新闻综合,#
新乡公共频道,#
焦作教育电视台,#
焦作新闻综合,#
焦作公共频道,#
焦作睛彩频道,#
沁阳新闻综合,#
沁阳文化旅游,#
濮阳一套综合,#
濮阳二套公共,#
睛彩濮阳频道,#
安阳科教频道,#
安阳公共频道,#
许昌新闻综合,#
许昌公共频道,#
许昌睛彩频道,#
周口一套新闻,#
周口二套经济,#
周口三套科教,#
周口四套川汇,#
南阳一套新闻,#
南阳二套公共,#
南阳三套科教,#

重庆
重庆卫视,#
重庆新闻频道,#
重庆国际频道,#
重庆都市频道,#
重庆影视频道,#
重庆时尚频道,#
重庆文体娱乐,#
重庆公共农村,#
重庆科教频道,#
重庆生活频道,#
重庆移动频道,#
CTV手持电视,#
CQTV汽摩频道,#
万州综合频道,#
万州影视文艺,#
万州科教频道,#
三峡移民频道,#
巴南综合频道,#
巴南生活服务,#
巴南快乐频道,#
梁平综合频道,#
长寿综合频道,#
长寿文化旅游,#
开州综合频道,#
开州生活频道,#
綦江综合频道,#
綦江经济民生,#
南川新闻综合,#
南川经济旅游,#
万盛新闻综合,#
涪陵综合频道,#

四川
四川卫视,#
康巴卫视,#
四川文化旅游,#
四川经济频道,#
四川新闻资讯,#
四川影视文艺,#
四川星空购物,#
四川妇女儿童,#
四川科教频道,#
四川公共频道,#
绵阳新闻综合,#
绵阳公共频道,#
