序号,园区名称,入驻企业,园区面积(亩),特色产业,园区位置,所属省,所属市,所属区县
1,上海化学工业区(天华路),5835,20307.61,,天华路,上海市,,金山区
2,上海海湾国家森林公园,482,16920.83,,,上海市,,奉贤区
3,嘉定工业开发区,3483,15317.56,,上海市嘉定区霜竹公路4388号,上海市,,嘉定区
4,临港新片区环湖产业园,60162,15250.13,,南汇新城镇环湖二路与环湖一路之间环形带,上海市,,浦东新区
5,上海闵行经济技术开发区,2177,11349.62,,上海市闵行区江川路1251号/文井路99号,上海市,,闵行区
6,上海精细化工产业园,5321,10800.27,"化工,精细化工",上海市金山区夏盛路与金山大道交叉口西约20米,上海市,,金山区
7,上海化学工业区(目华路),837,10725.44,,上海市奉贤区目华路201号,上海市,,奉贤区
8,上海市星火开发区,29876,8456.5,,上海市奉贤区民乐路72号,上海市,,奉贤区
9,上海市工业综合开发区(南桥·环城北路),47367,7388.83,,上海市奉贤区南桥镇环城西路3111号,上海市,,奉贤区
10,上海洋山保税港区,4745,6853.84,,口岸查验地道与S2沪芦高速交口南行200米,上海市,,浦东新区
11,东平国家森林公园,22622,5779.1,,,上海市,,崇明区
12,上海浦东新区临港重装备工业园,39,5733.06,工业园,上海市浦东新区鸿音路,上海市,,浦东新区
13,上海临港新兴产业园区,388,5607.49,新兴产业,层林路与两港大道辅路交叉口西北40米,上海市,,浦东新区
14,上海世博园区(世博大道),1338,5543.08,,上南路与博成路交叉口东南约60米,上海市,,浦东新区
15,国家级上海松江经济技术开发区(中山街道),4764,4542.66,,中山街道荣乐东路两侧片区,上海市,,松江区
16,上海祝桥空港工业园,2357,4437.71,工业园,上海市浦东新区金亭公路1094附近,上海市,,浦东新区
17,松江工业区佘山分区,11532,4412.7,,上海市松江区泗陈公路与陶干路交叉口北50米,上海市,,松江区
18,上海张江高科技园区(凌空北路),1727,4364.65,,上海市浦东新区汇庆路888号西北方向100米,上海市,,浦东新区
19,上海迪士尼,537,4328.53,,,上海市,,浦东新区
20,上海奥迪国际赛车场,13,4079.38,,,上海市,,嘉定区
21,上海市大众工业园区,321,3904.68,工业园,上海市嘉定区园区路348号,上海市,,嘉定区
22,曹路现代农业园,207,3826.94,现代农业,曹路镇锦绣东路北50米,上海市,,浦东新区
23,上海辰山植物园,52,3198.73,,,上海市,,松江区
24,紫竹国家高新技术产业开发区,3801,3172.81,,江川东路与武都路交叉口西南40米,上海市,,闵行区
25,松江综合保税区,986,2830.11,保税区,上海市松江区华昌北路,上海市,,松江区
26,临港普洛斯国际物流园,89,2751.3871,物流园,上海市浦东新区康祥路549号,上海市,,浦东新区
27,上海海滨森林公园,584,2538.99,,,上海市,,浦东新区
28,上海青浦工业园区(城中北路),18,2501.41,,竹盈路与城北路交叉口西北60米,上海市,,青浦区
29,共青国家森林公园,67,2161,,,上海市,,杨浦区
30,金山第二工业区,121,2068.94,,上海市金山区合展路与浦卫公路交叉口西北约80米,上海市,,金山区
31,数字江海国际产业新城,15,1981.12,,汇丰北路与嘉园路交叉口西南240米,上海市,,奉贤区
32,永丰街道工业园区,4705,1966.06,工业园,玉树路与北杨路交叉口西南20米,上海市,,松江区
33,上海枫泾工业园区(王圩路一零七乡道),435,1879.83,工业园,上海市金山区王圩东路180号附近,上海市,,金山区
34,大麦湾工业区南区,1423,1828.5,,航川路与航启路交叉处西120米,上海市,,浦东新区
35,上海虹桥商务核心区1期,2501,1723.04,,,上海市,,闵行区
36,朱泾工业园区(仙居路),3080,1722.13,工业园,上海市金山区朱泾镇仙居村15组,上海市,,金山区
37,上海申隆生态园,16668,1700.33,,,上海市,,奉贤区
38,上海奉城(市级)工业园区,11047,1651.84,工业园,上海市奉贤区团青公路与奉村路交叉口北100米,上海市,,奉贤区
39,上海罗泾汽车产业园,54,1646.32,汽车,潘川路与泾勋路交叉口西南140米,上海市,,宝山区
40,浦江高科技园区,1565,1539.41,,立跃路与臣凯路交叉口东120米,上海市,,闵行区
41,上海欢乐谷,98,1507.62,,,上海市,,松江区
42,上海虹桥商务区核心区,2444,1446.12,,上海市青浦区盈港东路168号国家会展中心(南门)附近,上海市,,闵行区
43,南桥镇西渡经济园区,15515,1436.55,,上海市奉贤区奉金路88号,上海市,,奉贤区
44,上海嘉定出口加工区,1533,1351.2331,,上海市嘉定区嘉定工业区宝钱公路4500号,上海市,,嘉定区
45,吴泾工业区,298,1345.41,,上海市闵行区吴泾镇龙吴路4787弄13号,上海市,,闵行区
46,上海植物园,61,1301.75,,,上海市,,徐汇区
47,邬桥工业园区,1144,1296,工业园,上海市奉贤区庄行镇,上海市,,奉贤区
48,香花桥工业区,75,1253.61,,上海市青浦区香花桥镇汇联路,上海市,,青浦区
49,都市型新浜工业园,432,1239.84,工业园,上海市松江区新浜镇,上海市,,松江区
50,青港工业园,410,1214.43,工业园,上海市奉贤区光大路与南奉公路交叉口南100米,上海市,,奉贤区
51,松江工业园区石湖荡分区,15057,1199.35,工业园,上海市松江区塔汇街607附近,上海市,,松江区
52,西渡工业园区,1418,1197.11,工业园,上海市奉贤区亿松路555号,上海市,,奉贤区
53,外高桥保税区B区,1641,1191.09,保税区,上海市浦东新区冰克路500号威斯路与港电路交叉口西侧,上海市,,浦东新区
54,临港产业区,553,1130.28,,上海市浦东新区秋兴路875号,上海市,,浦东新区
55,上海市张江高新技术产业开发区,124,1129,,徐潘路与浏翔公路交叉口东140米,上海市,,嘉定区
56,光明生态园,62,1127.33,,,上海市,,浦东新区
57,马桥工业区,243,1110.75,,上海市闵行区中连路与紫旭路交叉口南100米,上海市,,闵行区
58,上海宝山城市工业园区(真陈路),428,1098.94,工业园,上海市宝山区真陈路818号(近宝祁路),上海市,,宝山区
59,嘉定国家高新技术产业开发区,8077,1020.02,,上海市嘉定区嘉定工业区叶城路1288号,上海市,,嘉定区
60,上海市莘庄工业区,410,1015.75,,颛兴路1188号,上海市,,闵行区
61,上海化学工业区物流产业园(共创路),1114,1013.03,物流园,上海市金山区共创路与浦卫公路交叉口西北50米,上海市,,金山区
62,上海泖港都市型工业园区,162,985.2444,工业园,上海市松江区泖港镇中强路998号,上海市,,松江区
63,张泾工业区,254,976.2052,,上海市金山区荣田路与荣东路交叉路口往西约100米,上海市,,金山区
64,正泰启迪智电港,167,966.0945,,上海市松江区思贤路3655号,上海市,,松江区
65,中国航天闵行航天城,9,955.68,航空航天,上海市闵行区中春路1777,上海市,,闵行区
66,上海紫江产业园区,101,843.58,,上海市闵行区颛兴路762西南方向150米,上海市,,闵行区
67,漕河泾浦江高科技园F区,719,826.47,,漕河泾开发区浦江,上海市,,闵行区
68,朱家角工业园,4232,812.62,工业园,上海市青浦区朱枫公路1111西北方向40米,上海市,,青浦区
69,漕河泾开发区浦江高科技园,31,812.32,,上海市闵行区浦江镇浦星公路789号综合楼1F,上海市,,闵行区
70,江海工业园,5011,810.08,工业园,上海市奉贤区富康路40号,上海市,,奉贤区
71,中国电信信息园(秀沿西路),9,786.29,,上海市浦东新区杨高南路秀沿西路189号,上海市,,浦东新区
72,中国芯科技园,45,745.91,,上海市浦东新区金科路2537号,上海市,,浦东新区
73,长三角绿洲智谷(漕河泾开发区赵巷园区),489,718.25,,盈港东路与佳迪路路口东南140米(嘉松中路地铁站2号口旁),上海市,,青浦区
74,上海新林工业园区,793,715,工业园,上海市奉贤区柘林镇新林路1111号,上海市,,奉贤区
75,宝山区现代农业园区,27,706.75,现代农业,上海市宝山区月浦镇罗东路52弄60号,上海市,,宝山区
76,顾村工业园区,268,704.4753,工业园,上海市宝山区顾村工业园区(富联一路南60米),上海市,,宝山区
77,上海高新技术成果转化基地,101,696.37,,上海市青浦区外青松公路5399号,上海市,,青浦区
78,杨行工业园区,543,689.62,工业园,上海市宝山区共祥路168,上海市,,宝山区
79,漕河泾开发区赵巷园区,908,667,,上海市青浦区17号线嘉松中路站嘉松中路站F2正北方向190米,上海市,,青浦区
80,上海嘉定高科技园区,116,653.29,,嘉定工业区叶城路1411号,上海市,,嘉定区
81,吉盛伟邦国际家具村,792,629,家具,,上海市,,青浦区
82,松隐工业区,2767,625.71,,上海市金山区达福路与丰盛路交叉路口往东北约80米,上海市,,金山区
83,莘庄商务区,1607,613.96,,上海市闵行区七莘路1233号,上海市,,闵行区
84,上海国际机电五金城,1684,612.16,机电,,上海市,,嘉定区
85,浦江工业园区,250,593.29,工业园,上海市闵行区浦江镇,上海市,,闵行区
86,森兰·外高桥,356,583.14,,张杨北路(洲海路地铁站1号口步行390米),上海市,,浦东新区
87,上海市张江高科技园区(郭守敬路),225,581.62,,上海市浦东新区郭守敬路271弄1-2号,上海市,,浦东新区
88,青村镇钱桥工业区,1617,571.87,,上海市奉贤区钱桥路北50米,上海市,,奉贤区
89,上海市莘庄工业区(金都路),124,569.59,,金都路3688号,上海市,,闵行区
90,赵巷商业商务区,754,560.87,,佳康路与嘉松四路交叉口东北100米,上海市,,青浦区
91,松江高新科技园区,86,552.91,,申宣路与金都西路交叉口东南140米,上海市,,松江区
92,上海外高桥保税物流园区,85,540.8792,物流园,上海市浦东新区申亚路和浦东北路的交叉口附近,上海市,,浦东新区
93,斯米克物流园区,21,530.7534,物流园,上海市闵行区浦江镇三鲁公路2199号,上海市,,闵行区
94,陆家嘴1885广场区,9792,529.43,,,上海市,,浦东新区
95,青港工业园区,758,527.81,工业园,上海市奉贤区品星路418号,上海市,,奉贤区
96,国家863软件专业孵化器(上海)基地,670,527.71,IT软件,上海市闵行区联航路1588号,上海市,,闵行区
97,F24园区(陆家堰),22,523.24,,上海市浦东新区保税区意威路36号69号厂房,上海市,,浦东新区
98,上海张江高科技园区(龙东大道),140,518.45,,上海市浦东新区李时珍路北150米,上海市,,浦东新区
99,陆家堰,22,517.44,,,上海市,,浦东新区
100,上海漕河泾新兴技术开发区,534,491.74,,钦州北路1088弄,上海市,,徐汇区
101,上海宝湾国际物流中心,18,485.7794,物流园,上海市宝山区铁力路388号,上海市,,宝山区
102,新场古镇,252,478,,,上海市,,浦东新区
103,南华亭经济小区,1518,471.89,,上海市奉贤区南华亭东路,上海市,,奉贤区
104,上海影视乐园,3868,454.07,影视,,上海市,,松江区
105,国浩长风城,6590,450.79,,泸定路(长风公园地铁站3号口步行270米),上海市,,普陀区
106,唐镇工业园区,69,443.16,工业园,上海市浦东新区龙东大道4155弄,上海市,,浦东新区
107,上海金桥出口加工区南区,89,439.907,,上海市浦东新区华东路5001号附近,上海市,,浦东新区
108,上海祥奉建材综合市场,477,426.9,建材,,上海市,,奉贤区
109,相计工业园区,783,426.71,工业园,上海市奉贤区大叶公路2050弄161号,上海市,,奉贤区
110,上海五角场高新技术产业园区赛特分园,2960,424.1003,,上海市杨浦区南翔殷路58号2层,上海市,,杨浦区
111,上海科技绿洲(田林路),432,416.7,,上海市闵行区田林路888弄,上海市,,闵行区
112,上海海台农副产品批发市场,861,412.16,,,上海市,,奉贤区
113,上海外联发D8工业园区(泰谷路),2800,396.47,工业园,上海市浦东新区美盛路61-63号,上海市,,浦东新区
114,宝胜(上海)工业园,28,392.0426,工业园,上海市金山区漕廊公路2888号a5-11号,上海市,,金山区
115,上海浦东软件园(哈雷路),313,383.2058,IT软件,上海市浦东新区博云路36号,上海市,,浦东新区
116,上海电气都市工业园区,238,374.7779,"电气,工业园",上海市宝山区长江西路850号,上海市,,宝山区
117,张江集电港·科技领袖之都-东区,114,359.38,,上海市浦东新区张江镇张东路1387号,上海市,,浦东新区
118,上海五金城,819,357.6,,,上海市,,嘉定区
119,上海木材交易中心尊木汇园区,586,353.01,,宝田路与蕰川公路和平路西20米,上海市,,宝山区
120,恒信科技产业园,1943,349.99,,上海市金山区天工路285弄,上海市,,金山区
121,浦东老港现代农业集散中心,19,347.19,现代农业,建中路1213号建中路与沙中东四路交叉口北100米,上海市,,浦东新区
122,人然合一现代农业生态园,7,340.77,现代农业,,上海市,,青浦区
123,沧源科技园,2856,340.33,,上海市闵行区沧源路1160号,上海市,,闵行区
124,上海市张江高科技园区(上海华虹西),384,340.26,,碧波路572弄115号-10幢,上海市,,浦东新区
125,临港长兴科技园,10471,338.88,,长兴镇兴鹊路252号,上海市,,崇明区
126,上海张江医疗器械产业基地(瑞庆路),201,338.5,医疗器械,上海市浦东新区合庆镇瑞庆路528号,上海市,,浦东新区
