序号,园区企业名称,企业状态,所属园区,注册资本,法定代表人,成立日期,联系电话,国标行业一级,国标行业二级,国标行业三级,国标行业四级,所属省,所属市,所属区县
1,上海广应丰建筑工程有限公司,在营,上海湾区科创中心,"5,000.00万元",杨秀应,2024-08-29,,建筑业,建筑装饰、装修和其他建筑业,建筑装饰和装修业,住宅装饰和装修,上海市,,金山区
2,上海康慷益清贸易有限公司,在营,聚诚创业园,"4,890.00万元",李晓南,2024-08-29,,房地产业,房地产业,房地产中介服务,房地产中介服务,上海市,,浦东新区
3,上海康洱禾益农业科技有限公司,在营,聚诚创业园,"4,880.00万元",张万,2024-08-29,,科学研究和技术服务业,研究和试验发展,农业科学研究和试验发展,农业科学研究和试验发展,上海市,,浦东新区
4,上海康庭栩信息科技有限公司,在营,聚诚创业园,"4,870.00万元",李晓南,2024-08-29,,文化、体育和娱乐业,体育,体育组织,体育保障组织,上海市,,浦东新区
5,上海康岑科贸易有限公司,在营,聚诚创业园,"4,850.00万元",录君强,2024-08-29,,租赁和商务服务业,商务服务业,会议、展览及相关服务,其他会议、展览及相关服务,上海市,,浦东新区
6,上海戎杨信息科技有限公司,在营,复旦软件园,"3,000.00万元",倪骏,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,其他软件开发,上海市,,宝山区
7,典石通脉企业管理(上海)有限公司,在营,上海朱家角医疗器械产业园,"3,000.00万元",张丽萍,2024-08-29,,租赁和商务服务业,商务服务业,咨询与调查,健康咨询,上海市,,青浦区
8,上海众拓鑫建筑劳务工程有限公司,在营,金山第二工业区经济小区,"2,000.00万元",吴昌彬,2024-08-29,,建筑业,建筑安装业,电气安装,电气安装,上海市,,金山区
9,上海义楚企业管理有限公司,在营,上海国际中小企业城(南乐路),"1,000.00万元",姜进贵,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,松江区
10,上海鉴烁网络科技有限公司,在营,上海申隆生态园,"1,000.00万元",全林健,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,奉贤区
11,欧核(上海)能源科技有限公司,在营,上海洋山保税港区,"1,000.00万元",管书凝,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新能源技术推广服务,上海市,,浦东新区
12,上海微子启科技有限公司,在营,"中采服务贸易产业园,朱家角工业园","1,000.00万元",宋炜斌,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,青浦区
13,上海东诚泓悦汽车销售服务有限公司,在营,江海工业园,"1,000.00万元",邹海锋,2024-08-29,,批发和零售业,批发业,其他批发业,互联网批发,上海市,,奉贤区
14,上海振邦兴企业管理有限公司,在营,金山第二工业区经济小区,890.00万元,李帅飞,2024-08-29,,建筑业,土木工程建筑业,铁路、道路、隧道和桥梁工程建筑,市政道路工程建筑,上海市,,金山区
15,上海桃沫商务咨询有限公司,在营,临港长兴科技园,500.00万元,史永美,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,崇明区
